Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,09/24/2016,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,09/24/2016,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,09/24/2016,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,09/24/2016,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/01/2016,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/01/2016,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/01/2016,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/01/2016,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/08/2016,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/08/2016,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/08/2016,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/08/2016,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/15/2016,140,145,140,145,ALABAMA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/15/2016,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/15/2016,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/15/2016,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/15/2016,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/22/2016,140,145,140,145,ALABAMA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/22/2016,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/22/2016,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/22/2016,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/22/2016,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/29/2016,140,145,140,145,ALABAMA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/29/2016,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/29/2016,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/29/2016,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/29/2016,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,11/05/2016,140,145,140,145,ALABAMA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,11/05/2016,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,11/05/2016,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,11/05/2016,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,11/05/2016,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,HOWDEN TYPE,,,09/30/2017,150,150,150,150,CANADA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,HOWDEN TYPE,,,09/30/2017,140,145,140,145,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,HOWDEN TYPE,,,09/30/2017,140,140,140,140,TENNESSEE,,lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,1 1/9 bushel cartons,PIE TYPE,,,11/05/2016,14.5,15,14.5,15,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,1 1/9 bushel cartons,PIE TYPE,,,11/12/2016,14.5,15,14.5,15,MICHIGAN,,sml,,,,,,,,,N,
