score,review
4,"I was with my husband, and a few friends (5 of us total) and we had booked a two bedroom suite. Upon check in, the gal working the desk was super cute and friendly. She answered our million questions and gave us a brief little...More"
3,"This place is an interesting mix of really cool and not. Room sizes were nice, beds comfortable and great location. Not so cool were the small bathrooms with no fans or ventilation, and the large envelopes from the maids asking for tips for cleaning the...More"
5,"Yes, we know the rooms are outdated and funky with a charmed history, but isn't that the fun of it all?  This place is so unique with wood appointments, and iron work, chandeliers all blended wildly.  If this is not what you like, don't stay...More"
5,"We went to the Grand Canyon from Phoenix, so visit Flagstaff was an option and we stayed a night over. The hotel
Is plenty of history, it has is own character and style. My daughter and I had the Bop Hope suite and the bed...More"
4,"This is my second stay at Monte Vista, it was okay first time, no problems. The king room I'm in now is much nicer, and comfortable. Bathroom is great, with a large jetted bathtub. Renovation looks fairly recent, art work in the room really looks...More"
4,"I am not sure why folks post such negative reviews about this spot. If you are looking for a generic chain hotel, go stay at one. My partner and I prefer a spot with a bit of history and character and the Hotel Monte Vista...More"
3,"This is a good historic hotel, lots of character. Our king room on the fourth floor was a good size. There was a sink in the room, with a small bathroom with the toilet and shower. You have to like this sort of place or...More"
4,Great place to stay which is out of the ordinary . The history of the hotel is interesting and the named rooms after film stars make it all the more special . Kind of wanted to see a ghost to tell family back home ....More
5,"My husband and were visiting a nearby town to view some property and wanting a midway point to spend one night, we also wanted to check out some local restaurants and do a little shopping the night before. Downtown Flagstaff is full of both.
My...More"
3,If you like staying in historic districts this is a good hotel. It caters to the college age as does all of the downtown historic district since this is a college town. Each room is decorated different and is named after someone famous who stayed...More
4,Elegant and art deco.  Ask for upper room because of street noise.  Parking is not good its easier to pay across street.  This old Haunted Hotel has an interesting history of many famous people staying here.  We had tiny room 216 love my mauve colored...More
5,knew this could be noisy at night and the staff accommodated with a room away from the music...very lively spot in the old town area and absolutely central...had a great vibe to it and had a drink in the bar very pleasant...old worlde charm meets...More
3,"Pleasantly surprised at the location: smack dab in the middle of all that's happening in Flagstaff. Street dance going on; dinner at Shift, a fantastic restaurant across the street. Monte Vista has a cool, vintage vibe to it, and the staff was nice. The room...More"
3,"Great location and nicely restored, this historic hotel is fun and very well located. Rooms are small, but this was to be expected.

Their main pitfalls are dodgy wifi and poor air conditioning in rooms."
